-35	-5	2.558	1.473	2.311	1.332	0.541
-30	-5	2.539	1.455	2.27	1.32	0.528
-25	-5	2.534	1.436	2.221	1.313	0.524
-20	-5	2.533	1.419	2.176	1.305	0.522
-15	-5	2.539	1.404	2.131	1.299	0.521
-10	-5	2.522	1.373	2.082	1.319	0.554
-5	-5	2.555	1.374	2.046	1.293	0.53
0	-5	2.555	1.352	2.003	1.302	0.549
5	-5	2.565	1.344	1.97	1.291	0.541
10	-5	2.592	1.335	1.932	1.29	0.55
15	-5	2.602	1.326	1.903	1.282	0.545
20	-5	2.624	1.314	1.866	1.286	0.561
25	-5	2.643	1.326	1.837	1.269	0.56
30	-5	2.626	1.307	1.79	1.276	0.585
35	-5	2.659	1.315	1.787	1.247	0.545
40	-5	2.691	1.302	1.765	1.248	0.545
-35	0	2.534	1.415	2.312	1.39	0.604
-30	0	2.551	1.427	2.264	1.321	0.52
-25	0	2.548	1.405	2.215	1.314	0.516
-20	0	2.546	1.391	2.17	1.307	0.516
-15	0	2.555	1.374	2.127	1.3	0.513
-10	0	2.537	1.342	2.08	1.321	0.545
-5	0	2.579	1.35	2.046	1.288	0.513
0	0	2.576	1.324	2.002	1.302	0.538
5	0	2.59	1.321	1.966	1.291	0.538
10	0	2.581	1.313	1.939	1.279	0.525
15	0	2.621	1.299	1.906	1.283	0.533
20	0	2.627	1.308	1.871	1.268	0.539
25	0	2.64	1.322	1.833	1.258	0.556
30	0	2.671	1.306	1.808	1.259	0.556
35	0	2.678	1.247	1.767	1.294	0.584
-35	5	2.582	1.407	2.298	1.339	0.529
-30	5	2.566	1.39	2.257	1.325	0.513
-25	5	2.563	1.373	2.209	1.316	0.508
-20	5	2.556	1.37	2.167	1.304	0.508
-15	5	2.566	1.349	2.123	1.301	0.507
-10	5	2.544	1.33	2.076	1.317	0.542
-5	5	2.595	1.321	2.043	1.291	0.506
0	5	2.574	1.319	1.999	1.297	0.538
5	5	2.589	1.318	1.963	1.286	0.538
10	5	2.603	1.3	1.927	1.287	0.544
15	5	2.584	1.305	1.88	1.282	0.568
20	5	2.637	1.319	1.873	1.247	0.524
25	5	2.65	1.306	1.84	1.249	0.535
30	5	2.687	1.281	1.809	1.265	0.552
35	5	2.703	1.275	1.781	1.26	0.556
-35	10	2.576	1.408	2.298	1.333	0.531
-30	10	2.548	1.365	2.254	1.351	0.55
-25	10	2.565	1.358	2.206	1.316	0.508
-20	10	2.557	1.352	2.163	1.307	0.511
-15	10	2.568	1.34	2.12	1.295	0.503
-10	10	2.528	1.315	2.07	1.323	0.557
-5	10	2.553	1.319	2.032	1.3	0.54
0	10	2.575	1.307	1.996	1.292	0.534
5	10	2.589	1.306	1.962	1.279	0.529
10	10	2.623	1.306	1.931	1.267	0.524
15	10	2.615	1.302	1.889	1.267	0.545
20	10	2.64	1.276	1.87	1.264	0.527
25	10	2.655	1.295	1.829	1.253	0.549
-35	15	2.564	1.38	2.295	1.357	0.561
-30	15	2.582	1.35	2.245	1.324	0.507
-25	15	2.545	1.335	2.204	1.337	0.539
-20	15	2.569	1.334	2.159	1.301	0.499
-15	15	2.568	1.331	2.117	1.292	0.503
-10	15	2.533	1.306	2.067	1.317	0.552
-5	15	2.556	1.308	2.029	1.296	0.538
0	15	2.575	1.295	1.994	1.288	0.53
5	15	2.59	1.301	1.956	1.275	0.533
10	15	2.607	1.285	1.921	1.275	0.539
15	15	2.616	1.282	1.885	1.27	0.547
20	15	2.621	1.29	1.849	1.256	0.552
25	15	2.678	1.265	1.833	1.26	0.541
-35	20	2.569	1.363	2.291	1.356	0.558
-30	20	2.551	1.341	2.249	1.344	0.544
-25	20	2.572	1.335	2.199	1.307	0.501
-20	20	2.565	1.329	2.156	1.298	0.503
-15	20	2.566	1.326	2.114	1.287	0.503
-10	20	2.548	1.296	2.068	1.306	0.535
-5	20	2.565	1.289	2.027	1.296	0.532
0	20	2.566	1.302	1.987	1.278	0.536
5	20	2.585	1.297	1.951	1.269	0.535
10	20	2.607	1.28	1.919	1.27	0.536
15	20	2.636	1.294	1.894	1.244	0.519
20	20	2.665	1.284	1.869	1.236	0.511
25	20	2.672	1.207	1.819	1.292	0.562
-35	25	2.597	1.354	2.283	1.327	0.515
-30	25	2.558	1.327	2.243	1.342	0.541
-25	25	2.571	1.328	2.197	1.304	0.502
-20	25	2.565	1.321	2.154	1.294	0.501
-15	25	2.58	1.302	2.11	1.287	0.496
-10	25	2.541	1.285	2.062	1.308	0.544
-5	25	2.573	1.272	2.024	1.295	0.529
0	25	2.607	1.251	1.989	1.291	0.519
5	25	2.632	1.251	1.957	1.277	0.512
10	25	2.656	1.243	1.925	1.273	0.514
15	25	2.67	1.24	1.894	1.267	0.517
20	25	2.692	1.219	1.862	1.275	0.529
25	25	2.69	1.196	1.823	1.287	0.551
-35	30	2.581	1.328	2.282	1.353	0.55
-30	30	2.579	1.325	2.24	1.314	0.504
-25	30	2.549	1.305	2.195	1.328	0.534
-20	30	2.566	1.313	2.151	1.291	0.501
-15	30	2.542	1.299	2.105	1.301	0.531
-10	30	2.552	1.288	2.063	1.291	0.527
-5	30	2.558	1.287	2.021	1.281	0.531
0	30	2.576	1.28	1.983	1.271	0.529
5	30	2.586	1.27	1.951	1.263	0.523
10	30	2.651	1.225	1.921	1.275	0.516
15	30	2.681	1.208	1.89	1.278	0.52
20	30	2.723	1.24	1.874	1.243	0.494
25	30	2.683	1.179	1.823	1.283	0.541
-35	35	2.605	1.323	2.275	1.325	0.51
-30	35	2.589	1.308	2.232	1.313	0.501
-25	35	2.581	1.294	2.189	1.303	0.496
-20	35	2.567	1.309	2.148	1.284	0.497
-15	35	2.544	1.289	2.102	1.298	0.53
-10	35	2.58	1.247	2.06	1.298	0.515
-5	35	2.608	1.226	2.021	1.293	0.508
0	35	2.648	1.231	1.991	1.27	0.485
5	35	2.649	1.219	1.953	1.276	0.505
10	35	2.677	1.193	1.919	1.282	0.51
15	35	2.702	1.203	1.896	1.264	0.498
20	35	2.712	1.186	1.863	1.271	0.511
25	35	2.688	1.157	1.823	1.283	0.533
-35	40	2.611	1.301	2.271	1.327	0.507
-30	40	2.591	1.294	2.232	1.31	0.495
-25	40	2.579	1.294	2.187	1.296	0.495
-20	40	2.581	1.282	2.144	1.286	0.49
-15	40	2.587	1.229	2.097	1.307	0.507
-10	40	2.597	1.223	2.057	1.298	0.505
-5	40	2.606	1.199	2.015	1.304	0.517
0	40	2.641	1.21	1.985	1.278	0.495
5	40	2.684	1.21	1.957	1.261	0.477
10	40	2.701	1.182	1.922	1.274	0.493
15	40	2.698	1.19	1.893	1.262	0.496
20	40	2.727	1.164	1.863	1.271	0.504
