8
0.235  0.25  -4.154535 3.640052 3.575036 -3.040766 -4.293141 3.943249
0.235  0.26  -4.229723 3.646111 3.588151 -3.028604 -4.176946 3.894980
0.235  0.27  -4.338546 3.667840 3.608001 -2.995343 -4.029001 3.826139
0.235  0.28  -4.468331 3.689345 3.630794 -2.950047 -3.867232 3.750028
0.25  0.25  -4.145248 3.830429 3.591103 -3.048417 -4.286578 3.867286
0.25  0.26  -4.257741 3.854104 3.611884 -3.025167 -4.107841 3.784400
0.25  0.27  -4.360077 3.874456 3.630323 -3.000958 -3.954076 3.711369
0.25  0.28  -4.454617 3.895165 3.647243 -2.986302 -3.809364 3.641047
